focal_cusip,n_top_picks,saturated_share,single_tie_share,median_n_ties,max_n_ties,mean_sustained_share,fraction_with_persistence_signal
599903,20,1.0,0.0,3.0,3,1.0,1.0
316869,20,1.0,0.0,3.0,4,1.0,1.0
89685K,20,1.0,0.0,3.0,3,1.0,1.0
573083,20,1.0,0.0,3.0,3,1.0,1.0
N6596X,20,1.0,0.0,3.0,3,1.0,1.0
810022,20,1.0,0.0,3.0,4,1.0,1.0
042764,20,1.0,0.0,3.0,4,1.0,1.0
879433,20,1.0,0.0,3.0,4,1.0,1.0
04315D,20,1.0,0.0,3.0,4,1.0,1.0
62936A,20,1.0,0.0,3.0,4,1.0,1.0
42221H,20,1.0,0.0,3.0,3,1.0,1.0
823901,20,1.0,0.0,3.0,4,1.0,1.0
949470,20,1.0,0.0,3.0,4,1.0,1.0
090572,20,1.0,0.0,3.0,3,1.0,1.0
343468,20,1.0,0.0,3.0,4,1.0,1.0
518081,20,1.0,0.0,3.0,3,1.0,1.0
695072,20,1.0,0.0,3.0,4,1.0,1.0
M52020,20,1.0,0.0,3.0,4,1.0,1.0
125165,20,1.0,0.0,3.0,3,1.0,1.0
761640,20,1.0,0.0,3.0,4,1.0,1.0
86732Y,20,1.0,0.0,3.0,4,1.0,1.0
438516,20,1.0,0.0,3.0,4,1.0,1.0
595094,20,1.0,0.0,3.0,3,1.0,1.0
561232,20,1.0,0.0,3.0,3,1.0,1.0
156913,20,1.0,0.0,3.0,4,1.0,1.0
90138A,20,1.0,0.0,3.0,3,1.0,1.0
55354G,20,1.0,0.0,3.0,3,1.0,1.0
05156V,20,1.0,0.0,3.0,3,1.0,1.0
268817,20,1.0,0.0,3.0,4,1.0,1.0
44107P,20,1.0,0.0,3.0,3,1.0,1.0
71715W,20,1.0,0.0,3.0,3,1.0,1.0
42223C,20,1.0,0.0,3.0,3,1.0,1.0
784741,20,1.0,0.0,3.0,4,1.0,1.0
20009T,20,1.0,0.0,3.0,3,1.0,1.0
746144,20,1.0,0.0,3.0,4,1.0,1.0
862683,20,1.0,0.0,3.0,4,1.0,1.0
002121,20,1.0,0.0,3.0,4,1.0,1.0
705536,20,1.0,0.0,3.0,4,1.0,1.0
225270,20,1.0,0.0,3.0,3,1.0,1.0
210371,20,1.0,0.0,3.0,4,1.0,1.0
05379B,20,1.0,0.0,3.0,4,1.0,1.0
091736,20,1.0,0.0,3.0,4,1.0,1.0
412822,20,1.0,0.0,3.0,4,1.0,1.0
303094,20,1.0,0.0,3.0,3,1.0,1.0
15850B,20,1.0,0.0,3.0,4,1.0,1.0
65332K,20,1.0,0.0,3.0,3,1.0,1.0
759458,20,1.0,0.0,3.0,3,1.0,1.0
293988,20,1.0,0.0,3.0,4,1.0,1.0
801003,20,1.0,0.0,3.0,4,1.0,1.0
37244T,20,1.0,0.0,3.0,4,1.0,1.0
698301,20,1.0,0.0,3.0,4,1.0,1.0
02461P,20,1.0,0.0,3.0,3,1.0,1.0
14166W,20,1.0,0.0,3.0,4,1.0,1.0
29364G,20,1.0,0.0,3.0,3,1.0,1.0
116794,20,1.0,0.0,3.0,4,1.0,1.0
252131,20,1.0,0.0,3.0,3,1.0,1.0
02145P,20,1.0,0.0,3.0,3,1.0,1.0
879603,20,1.0,0.0,3.0,3,1.0,1.0
60742E,20,1.0,0.0,3.0,4,1.0,1.0
136069,20,1.0,0.0,3.0,4,1.0,1.0
105651,20,1.0,0.0,3.0,3,1.0,1.0
836167,20,1.0,0.0,3.0,4,1.0,1.0
127387,20,1.0,0.0,3.0,3,1.0,1.0
69946T,20,1.0,0.0,3.0,3,1.0,1.0
179895,20,1.0,0.0,3.0,4,1.0,1.0
00088U,20,1.0,0.0,3.0,3,1.0,1.0
014478,20,1.0,0.0,3.0,3,1.0,1.0
293914,20,1.0,0.0,3.0,3,1.0,1.0
69348J,20,1.0,0.0,3.0,3,1.0,1.0
02553L,20,1.0,0.0,3.0,4,1.0,1.0
M87482,20,1.0,0.0,3.0,3,1.0,1.0
37940X,20,1.0,0.0,3.0,3,1.0,1.0
249906,20,1.0,0.0,3.0,4,1.0,1.0
607828,20,1.0,0.0,3.0,4,1.0,1.0
872912,20,1.0,0.0,3.0,4,1.0,1.0
552078,20,1.0,0.0,3.0,4,1.0,1.0
83083P,20,1.0,0.0,3.0,4,1.0,1.0
303698,20,1.0,0.0,3.0,3,1.0,1.0
318120,20,1.0,0.0,3.0,4,1.0,1.0
437368,20,1.0,0.0,3.0,3,1.0,1.0
382410,20,1.0,0.0,3.0,4,1.0,1.0
055969,20,1.0,0.0,3.0,4,1.0,1.0
947684,20,1.0,0.0,3.0,3,1.0,1.0
344159,20,1.0,0.0,3.0,3,1.0,1.0
043009,20,1.0,0.0,3.0,3,1.0,1.0
635309,20,1.0,0.0,3.0,3,1.0,1.0
883906,20,1.0,0.0,3.0,4,1.0,1.0
280597,20,1.0,0.0,3.0,4,1.0,1.0
002824,20,1.0,0.0,3.0,3,1.0,1.0
584007,20,1.0,0.0,3.0,4,1.0,1.0
98401F,20,1.0,0.0,3.0,4,1.0,1.0
69924R,20,1.0,0.0,3.0,4,1.0,1.0
46113Q,20,1.0,0.0,3.0,4,1.0,1.0
170388,20,1.0,0.0,3.0,4,1.0,1.0
114577,20,1.0,0.0,3.0,4,1.0,1.0
450052,20,1.0,0.0,3.0,3,1.0,1.0
857307,20,1.0,0.0,3.0,3,1.0,1.0
233331,20,1.0,0.0,3.0,3,1.0,1.0
068277,20,1.0,0.0,3.0,4,1.0,1.0
156504,20,1.0,0.0,3.0,4,1.0,1.0
638789,20,1.0,0.0,3.0,4,1.0,1.0
379399,20,1.0,0.0,3.0,4,1.0,1.0
84764M,20,1.0,0.0,3.0,4,1.0,1.0
872464,20,1.0,0.0,3.0,4,1.0,1.0
103358,20,1.0,0.0,3.0,3,1.0,1.0
16937R,20,1.0,0.0,3.0,4,1.0,1.0
228895,20,1.0,0.0,3.0,4,1.0,1.0
109502,20,1.0,0.0,3.0,3,1.0,1.0
50162D,20,1.0,0.0,3.0,4,1.0,1.0
449491,20,1.0,0.0,3.0,3,1.0,1.0
449536,20,1.0,0.0,3.0,4,1.0,1.0
62948N,20,1.0,0.0,3.0,3,1.0,1.0
G01096,20,1.0,0.0,3.0,4,1.0,1.0
904753,20,1.0,0.0,3.0,3,1.0,1.0
283702,20,1.0,0.0,3.0,4,1.0,1.0
204449,20,1.0,0.0,3.0,4,1.0,1.0
816638,20,1.0,0.0,3.0,3,1.0,1.0
529898,20,1.0,0.0,3.0,3,1.0,1.0
45245S,20,1.0,0.0,3.0,3,1.0,1.0
87872R,20,1.0,0.0,3.0,4,1.0,1.0
629377,20,1.0,0.0,3.0,4,1.0,1.0
67052T,20,1.0,0.0,3.0,3,1.0,1.0
204672,20,1.0,0.0,3.0,4,1.0,1.0
58446J,20,1.0,0.0,3.0,3,1.0,1.0
731805,20,1.0,0.0,3.0,4,1.0,1.0
90465L,20,1.0,0.0,3.0,4,1.0,1.0
449246,20,1.0,0.0,3.0,3,1.0,1.0
8676EP,20,1.0,0.0,3.0,3,1.0,1.0
25260F,20,1.0,0.0,3.0,3,1.0,1.0
10637V,20,1.0,0.0,3.0,3,1.0,1.0
03662X,20,1.0,0.0,3.0,3,1.0,1.0
284447,20,1.0,0.0,3.0,3,1.0,1.0
21037X,20,1.0,0.0,3.0,4,1.0,1.0
03672W,20,1.0,0.0,3.0,3,1.0,1.0
G9019D,20,1.0,0.0,3.0,3,1.0,1.0
69373H,20,1.0,0.0,3.0,3,1.0,1.0
71644E,20,1.0,0.0,3.0,3,1.0,1.0
707832,20,1.0,0.0,3.0,4,1.0,1.0
740165,20,1.0,0.0,3.0,4,1.0,1.0
64115T,20,1.0,0.0,3.0,3,1.0,1.0
761131,20,1.0,0.0,3.0,3,1.0,1.0
53071M,20,1.0,0.0,3.0,4,1.0,1.0
64115D,20,1.0,0.0,3.0,4,1.0,1.0
37245R,20,1.0,0.0,3.0,4,1.0,1.0
863077,20,1.0,0.0,3.0,3,1.0,1.0
363595,20,1.0,0.0,3.0,3,1.0,1.0
896682,20,1.0,0.0,3.0,4,1.0,1.0
903070,20,1.0,0.0,3.0,4,1.0,1.0
36155Q,20,1.0,0.0,3.0,4,1.0,1.0
09060C,20,1.0,0.0,3.0,3,1.0,1.0
004644,20,1.0,0.0,3.0,4,1.0,1.0
830879,20,1.0,0.0,3.0,4,1.0,1.0
404100,20,1.0,0.0,3.0,3,1.0,1.0
079481,20,1.0,0.0,3.0,4,1.0,1.0
959880,20,1.0,0.0,3.0,4,1.0,1.0
36866W,20,1.0,0.0,3.0,3,1.0,1.0
247357,20,1.0,0.0,3.0,4,1.0,1.0
861907,20,1.0,0.0,3.0,4,1.0,1.0
004225,20,1.0,0.0,3.0,4,1.0,1.0
290817,20,1.0,0.0,3.0,3,1.0,1.0
004926,20,1.0,0.0,3.0,4,1.0,1.0
891490,20,1.0,0.0,3.0,3,1.0,1.0
921033,20,1.0,0.0,3.0,3,1.0,1.0
001735,20,1.0,0.0,3.0,4,1.0,1.0
989349,20,1.0,0.0,3.0,4,1.0,1.0
75968A,20,1.0,0.0,3.0,4,1.0,1.0
81724Q,20,1.0,0.0,3.0,4,1.0,1.0
88165N,20,1.0,0.0,3.0,4,1.0,1.0
570437,20,1.0,0.0,3.0,4,1.0,1.0
458977,20,1.0,0.0,3.0,4,1.0,1.0
013902,20,1.0,0.0,3.0,3,1.0,1.0
926914,20,1.0,0.0,3.0,3,1.0,1.0
00507P,20,1.0,0.0,3.0,3,1.0,1.0
641081,20,1.0,0.0,3.0,4,1.0,1.0
387328,20,1.0,0.0,3.0,3,1.0,1.0
984015,20,1.0,0.0,3.0,3,1.0,1.0
12525K,20,1.0,0.0,3.0,4,1.0,1.0
05459C,20,1.0,0.0,3.0,3,1.0,1.0
26841Y,20,1.0,0.0,3.0,3,1.0,1.0
589975,20,1.0,0.0,3.0,4,1.0,1.0
401630,20,1.0,0.0,3.0,4,1.0,1.0
741783,20,1.0,0.0,3.0,4,1.0,1.0
34459W,20,1.0,0.0,3.0,4,1.0,1.0
493375,20,1.0,0.0,3.0,4,1.0,1.0
00434L,20,1.0,0.0,3.0,4,1.0,1.0
871566,20,1.0,0.0,3.0,3,1.0,1.0
156772,20,1.0,0.0,3.0,3,1.0,1.0
462622,20,1.0,0.0,3.0,3,1.0,1.0
82620P,20,1.0,0.0,3.0,3,1.0,1.0
712574,20,1.0,0.0,3.0,4,1.0,1.0
982526,20,1.0,0.0,3.0,4,1.0,1.0
266605,20,1.0,0.0,3.0,3,1.0,1.0
592666,20,1.0,0.0,3.0,4,1.0,1.0
090655,20,1.0,0.0,3.0,3,1.0,1.0
05381A,20,1.0,0.0,3.0,4,1.0,1.0
832914,20,1.0,0.0,3.0,4,1.0,1.0
497350,20,1.0,0.0,3.0,3,1.0,1.0
740329,20,1.0,0.0,3.0,4,1.0,1.0
92553M,20,1.0,0.0,3.0,4,1.0,1.0
71714G,20,1.0,0.0,3.0,4,1.0,1.0
867892,20,1.0,0.0,3.0,4,1.0,1.0
701081,20,1.0,0.0,3.0,4,1.0,1.0
83169D,20,1.0,0.0,3.0,3,1.0,1.0
82966Q,20,1.0,0.0,3.0,3,1.0,1.0
695210,20,1.0,0.0,3.0,4,1.0,1.0
269796,20,1.0,0.0,3.0,4,1.0,1.0
15100P,20,1.0,0.0,3.0,3,1.0,1.0
66704R,20,1.0,0.0,3.0,3,1.0,1.0
00763V,20,1.0,0.0,3.0,3,1.0,1.0
008662,20,1.0,0.0,3.0,3,1.0,1.0
57772K,20,1.0,0.0,3.0,4,1.0,1.0
983195,20,1.0,0.0,3.0,3,1.0,1.0
876664,20,1.0,0.0,3.0,4,1.0,1.0
148806,20,1.0,0.0,3.0,4,1.0,1.0
03837J,20,1.0,0.0,3.0,4,1.0,1.0
54908P,20,1.0,0.0,3.0,4,1.0,1.0
366255,20,1.0,0.0,3.0,4,1.0,1.0
717124,20,1.0,0.0,3.0,4,1.0,1.0
14441E,20,1.0,0.0,3.0,4,1.0,1.0
594079,20,1.0,0.0,3.0,4,1.0,1.0
04962L,20,1.0,0.0,3.0,3,1.0,1.0
421935,20,1.0,0.0,3.0,4,1.0,1.0
14140U,20,1.0,0.0,3.0,3,1.0,1.0
589405,20,1.0,0.0,3.0,4,1.0,1.0
460491,20,1.0,0.0,3.0,4,1.0,1.0
00511R,20,1.0,0.0,3.0,4,1.0,1.0
62872H,20,1.0,0.0,3.0,3,1.0,1.0
45817Y,20,1.0,0.0,3.0,4,1.0,1.0
14808P,20,1.0,0.0,3.0,4,1.0,1.0
233326,20,1.0,0.0,3.0,3,1.0,1.0
87876P,20,1.0,0.0,3.0,4,1.0,1.0
64104X,20,1.0,0.0,3.0,4,1.0,1.0
925653,20,1.0,0.0,3.0,4,1.0,1.0
559492,20,1.0,0.0,3.0,4,1.0,1.0
00211E,20,1.0,0.0,3.0,4,1.0,1.0
718934,20,1.0,0.0,3.0,4,1.0,1.0
296054,20,1.0,0.0,3.0,3,1.0,1.0
640376,20,1.0,0.0,3.0,3,1.0,1.0
59509C,20,1.0,0.0,3.0,4,1.0,1.0
073902,20,1.0,0.0,3.0,4,1.0,1.0
302131,20,1.0,0.0,3.0,4,1.0,1.0
232674,20,1.0,0.0,3.0,4,1.0,1.0
35063R,20,1.0,0.0,3.0,3,1.0,1.0
09066Y,20,1.0,0.0,3.0,4,1.0,1.0
76218Y,20,1.0,0.0,3.0,4,1.0,1.0
631512,20,1.0,0.0,3.0,4,1.0,1.0
674098,20,1.0,0.0,3.0,3,1.0,1.0
85771Q,20,1.0,0.0,3.0,3,1.0,1.0
767754,20,1.0,0.0,3.0,4,1.0,1.0
251588,20,1.0,0.0,3.0,4,1.0,1.0
086585,20,1.0,0.0,3.0,4,1.0,1.0
G3921A,20,1.0,0.0,3.0,3,1.0,1.0
03823U,20,1.0,0.0,3.0,4,1.0,1.0
759930,20,1.0,0.0,3.0,3,1.0,1.0
012041,20,1.0,0.0,3.0,4,1.0,1.0
59001A,20,1.0,0.0,3.0,3,1.0,1.0
123655,20,1.0,0.0,3.0,3,1.0,1.0
00508B,20,1.0,0.0,3.0,4,1.0,1.0
044103,20,1.0,0.0,3.0,3,1.0,1.0
98978L,20,1.0,0.0,3.0,4,1.0,1.0
704227,20,1.0,0.0,3.0,4,1.0,1.0
147184,20,1.0,0.0,3.0,3,1.0,1.0
377339,20,1.0,0.0,3.0,4,1.0,1.0
688222,20,1.0,0.0,3.0,3,1.0,1.0
42799Y,20,1.0,0.0,3.0,3,1.0,1.0
452848,20,1.0,0.0,3.0,3,1.0,1.0
407891,20,1.0,0.0,3.0,4,1.0,1.0
228368,20,1.0,0.0,3.0,4,1.0,1.0
820484,20,1.0,0.0,3.0,4,1.0,1.0
58446C,20,1.0,0.0,3.0,3,1.0,1.0
766570,20,1.0,0.0,3.0,4,1.0,1.0
871628,20,1.0,0.0,3.0,4,1.0,1.0
878950,20,1.0,0.0,3.0,3,1.0,1.0
826918,20,1.0,0.0,3.0,3,1.0,1.0
154785,20,1.0,0.0,3.0,4,1.0,1.0
034603,20,1.0,0.0,3.0,4,1.0,1.0
676247,20,1.0,0.0,3.0,4,1.0,1.0
03252Q,20,1.0,0.0,3.0,4,1.0,1.0
026874,20,1.0,0.0,3.0,3,1.0,1.0
86627E,20,1.0,0.0,3.0,4,1.0,1.0
376775,20,1.0,0.0,3.0,4,1.0,1.0
87944M,20,1.0,0.0,3.0,3,1.0,1.0
538146,20,1.0,0.0,3.0,4,1.0,1.0
034385,20,1.0,0.0,3.0,3,1.0,1.0
017476,20,1.0,0.0,3.0,3,1.0,1.0
71376K,20,1.0,0.0,3.0,3,1.0,1.0
343412,20,1.0,0.0,3.0,4,1.0,1.0
756422,20,1.0,0.0,3.0,3,1.0,1.0
038237,20,1.0,0.0,3.0,3,1.0,1.0
261885,20,1.0,0.0,3.0,3,1.0,1.0
86326Q,20,1.0,0.0,3.0,3,1.0,1.0
232537,20,1.0,0.0,3.0,4,1.0,1.0
131330,20,1.0,0.0,3.0,4,1.0,1.0
943531,20,1.0,0.0,3.0,4,1.0,1.0
35951N,20,1.0,0.0,3.0,4,1.0,1.0
087779,20,1.0,0.0,3.0,4,1.0,1.0
172167,20,1.0,0.0,3.0,4,1.0,1.0
068313,20,1.0,0.0,3.0,4,1.0,1.0
234053,20,1.0,0.0,3.0,3,1.0,1.0
282017,20,1.0,0.0,3.0,4,1.0,1.0
