focal_cusip,n_top_picks,saturated_share,single_tie_share,median_n_ties,max_n_ties,mean_sustained_share,fraction_with_persistence_signal
674599,20,1.0,0.0,3.0,4,1.0,1.0
045604,20,1.0,0.0,3.0,3,1.0,1.0
035290,20,1.0,0.0,3.0,3,1.0,1.0
565849,20,1.0,0.0,3.0,3,1.0,1.0
09061G,20,1.0,0.0,3.0,4,1.0,1.0
895835,20,1.0,0.0,3.0,3,1.0,1.0
629369,20,1.0,0.0,3.0,4,1.0,1.0
499040,20,1.0,0.0,3.0,3,1.0,1.0
602496,20,1.0,0.0,3.0,3,1.0,1.0
671802,20,1.0,0.0,3.0,3,1.0,1.0
64031N,20,1.0,0.0,3.0,3,1.0,1.0
359523,20,1.0,0.0,3.0,4,1.0,1.0
370787,20,1.0,0.0,3.0,4,1.0,1.0
46206P,20,1.0,0.0,3.0,3,1.0,1.0
834182,20,1.0,0.0,3.0,4,1.0,1.0
69039R,20,1.0,0.0,3.0,4,1.0,1.0
450912,20,1.0,0.0,3.0,4,1.0,1.0
232824,20,1.0,0.0,3.0,4,1.0,1.0
78423C,20,1.0,0.0,3.0,3,1.0,1.0
98156L,20,1.0,0.0,3.0,3,1.0,1.0
422704,20,1.0,0.0,3.0,4,1.0,1.0
941075,20,1.0,0.0,3.0,3,1.0,1.0
640505,20,1.0,0.0,3.0,3,1.0,1.0
419883,20,1.0,0.0,3.0,4,1.0,1.0
007566,20,1.0,0.0,3.0,4,1.0,1.0
29272C,20,1.0,0.0,3.0,4,1.0,1.0
03027X,20,1.0,0.0,3.0,4,1.0,1.0
500458,20,1.0,0.0,3.0,3,1.0,1.0
59266R,20,1.0,0.0,3.0,3,1.0,1.0
37246C,20,1.0,0.0,3.0,4,1.0,1.0
054599,20,1.0,0.0,3.0,3,1.0,1.0
532746,20,1.0,0.0,3.0,4,1.0,1.0
046008,20,1.0,0.0,3.0,3,1.0,1.0
97652L,20,1.0,0.0,3.0,3,1.0,1.0
M82183,20,1.0,0.0,3.0,3,1.0,1.0
747525,20,1.0,0.0,3.0,4,1.0,1.0
299766,20,1.0,0.0,3.0,4,1.0,1.0
21745K,20,1.0,0.0,3.0,4,1.0,1.0
87611X,20,1.0,0.0,3.0,4,1.0,1.0
879947,20,1.0,0.0,3.0,3,1.0,1.0
45778Q,20,1.0,0.0,3.0,3,1.0,1.0
98425R,20,1.0,0.0,3.0,3,1.0,1.0
126915,20,1.0,0.0,3.0,4,1.0,1.0
653331,20,1.0,0.0,3.0,4,1.0,1.0
959542,20,1.0,0.0,3.0,3,1.0,1.0
185860,20,1.0,0.0,3.0,4,1.0,1.0
879080,20,1.0,0.0,3.0,4,1.0,1.0
846329,20,1.0,0.0,3.0,3,1.0,1.0
132011,20,1.0,0.0,3.0,4,1.0,1.0
45323G,20,1.0,0.0,3.0,3,1.0,1.0
09060J,20,1.0,0.0,3.0,3,1.0,1.0
55972F,20,1.0,0.0,3.0,4,1.0,1.0
733174,20,1.0,0.0,3.0,4,1.0,1.0
51669T,20,1.0,0.0,3.0,4,1.0,1.0
929352,20,1.0,0.0,3.0,4,1.0,1.0
019589,20,1.0,0.0,3.0,3,1.0,1.0
750917,20,1.0,0.0,3.0,4,1.0,1.0
12804A,20,1.0,0.0,3.0,3,1.0,1.0
101122,20,1.0,0.0,3.0,3,1.0,1.0
699058,20,1.0,0.0,3.0,4,1.0,1.0
70450Y,20,1.0,0.0,3.0,4,1.0,1.0
65335F,20,1.0,0.0,3.0,3,1.0,1.0
686268,20,1.0,0.0,3.0,4,1.0,1.0
723672,20,1.0,0.0,3.0,4,1.0,1.0
29250N,20,1.0,0.0,3.0,3,1.0,1.0
98142E,20,1.0,0.0,3.0,3,1.0,1.0
118154,20,1.0,0.0,3.0,4,1.0,1.0
597911,20,1.0,0.0,3.0,4,1.0,1.0
543524,20,1.0,0.0,3.0,3,1.0,1.0
042923,20,1.0,0.0,3.0,4,1.0,1.0
359694,20,1.0,0.0,3.0,3,1.0,1.0
130872,20,1.0,0.0,3.0,3,1.0,1.0
552880,20,1.0,0.0,3.0,4,1.0,1.0
834034,20,1.0,0.0,3.0,4,1.0,1.0
690742,20,1.0,0.0,3.0,4,1.0,1.0
461853,20,1.0,0.0,3.0,3,1.0,1.0
218002,20,1.0,0.0,3.0,3,1.0,1.0
004933,20,1.0,0.0,3.0,3,1.0,1.0
291843,20,1.0,0.0,3.0,3,1.0,1.0
903886,20,1.0,0.0,3.0,3,1.0,1.0
229678,20,1.0,0.0,3.0,4,1.0,1.0
11776U,20,1.0,0.0,3.0,3,1.0,1.0
144433,20,1.0,0.0,3.0,4,1.0,1.0
74730W,20,1.0,0.0,3.0,4,1.0,1.0
45816H,20,1.0,0.0,3.0,3,1.0,1.0
831865,20,1.0,0.0,3.0,3,1.0,1.0
04516H,20,1.0,0.0,3.0,4,1.0,1.0
922280,20,1.0,0.0,3.0,3,1.0,1.0
761195,20,1.0,0.0,3.0,4,1.0,1.0
341140,20,1.0,0.0,3.0,4,1.0,1.0
74048K,20,1.0,0.0,3.0,4,1.0,1.0
841338,20,1.0,0.0,3.0,3,1.0,1.0
85815M,20,1.0,0.0,3.0,4,1.0,1.0
12913L,20,1.0,0.0,3.0,3,1.0,1.0
M15633,20,1.0,0.0,3.0,4,1.0,1.0
180492,20,1.0,0.0,3.0,3,1.0,1.0
72813P,20,1.0,0.0,3.0,4,1.0,1.0
196879,20,1.0,0.0,3.0,4,1.0,1.0
686688,20,1.0,0.0,3.0,4,1.0,1.0
05366B,20,1.0,0.0,3.0,4,1.0,1.0
87163L,20,1.0,0.0,3.0,3,1.0,1.0
917919,20,1.0,0.0,3.0,3,1.0,1.0
817471,20,1.0,0.0,3.0,3,1.0,1.0
344770,20,1.0,0.0,3.0,4,1.0,1.0
612570,20,1.0,0.0,3.0,3,1.0,1.0
592671,20,1.0,0.0,3.0,4,1.0,1.0
741593,20,1.0,0.0,3.0,4,1.0,1.0
58463A,20,1.0,0.0,3.0,4,1.0,1.0
55261F,20,1.0,0.0,3.0,3,1.0,1.0
923333,20,1.0,0.0,3.0,4,1.0,1.0
65440D,20,1.0,0.0,3.0,3,1.0,1.0
170228,20,1.0,0.0,3.0,4,1.0,1.0
58410H,20,1.0,0.0,3.0,4,1.0,1.0
22374P,20,1.0,0.0,3.0,4,1.0,1.0
319829,20,1.0,0.0,3.0,4,1.0,1.0
69357C,20,1.0,0.0,3.0,4,1.0,1.0
03831Q,20,1.0,0.0,3.0,4,1.0,1.0
808614,20,1.0,0.0,3.0,4,1.0,1.0
03070M,20,1.0,0.0,3.0,3,1.0,1.0
64114W,20,1.0,0.0,3.0,4,1.0,1.0
450828,20,1.0,0.0,3.0,4,1.0,1.0
09058T,20,1.0,0.0,3.0,3,1.0,1.0
137907,20,1.0,0.0,3.0,3,1.0,1.0
595150,20,1.0,0.0,3.0,4,1.0,1.0
92857V,20,1.0,0.0,3.0,4,1.0,1.0
281347,20,1.0,0.0,3.0,4,1.0,1.0
316773,20,1.0,0.0,3.0,4,1.0,1.0
714006,20,1.0,0.0,3.0,4,1.0,1.0
842814,20,1.0,0.0,3.0,4,1.0,1.0
879403,20,1.0,0.0,3.0,3,1.0,1.0
222795,20,1.0,0.0,3.0,3,1.0,1.0
685563,20,1.0,0.0,3.0,4,1.0,1.0
570906,20,1.0,0.0,3.0,4,1.0,1.0
29266M,20,1.0,0.0,3.0,4,1.0,1.0
37247A,20,1.0,0.0,3.0,3,1.0,1.0
31865W,20,1.0,0.0,3.0,3,1.0,1.0
89354M,20,1.0,0.0,3.0,3,1.0,1.0
N51488,20,1.0,0.0,3.0,4,1.0,1.0
832154,20,1.0,0.0,3.0,3,1.0,1.0
884569,20,1.0,0.0,3.0,3,1.0,1.0
011630,20,1.0,0.0,3.0,3,1.0,1.0
374163,20,1.0,0.0,3.0,3,1.0,1.0
91911X,20,1.0,0.0,3.0,3,1.0,1.0
780289,20,1.0,0.0,3.0,4,1.0,1.0
097937,20,1.0,0.0,3.0,4,1.0,1.0
N72482,20,1.0,0.0,3.0,3,1.0,1.0
169617,20,1.0,0.0,3.0,4,1.0,1.0
45245W,20,1.0,0.0,3.0,4,1.0,1.0
832110,20,1.0,0.0,3.0,4,1.0,1.0
088658,20,1.0,0.0,3.0,3,1.0,1.0
739421,20,1.0,0.0,3.0,4,1.0,1.0
090763,20,1.0,0.0,3.0,4,1.0,1.0
337484,20,1.0,0.0,3.0,4,1.0,1.0
05946K,20,1.0,0.0,3.0,4,1.0,1.0
205908,20,1.0,0.0,3.0,4,1.0,1.0
78486P,20,1.0,0.0,3.0,4,1.0,1.0
825211,20,1.0,0.0,3.0,4,1.0,1.0
87971M,20,1.0,0.0,3.0,4,1.0,1.0
71654V,20,1.0,0.0,3.0,4,1.0,1.0
127703,20,1.0,0.0,3.0,4,1.0,1.0
146285,20,1.0,0.0,3.0,4,1.0,1.0
37247D,20,1.0,0.0,3.0,3,1.0,1.0
049560,20,1.0,0.0,3.0,3,1.0,1.0
014384,20,1.0,0.0,3.0,4,1.0,1.0
803436,20,1.0,0.0,3.0,3,1.0,1.0
744284,20,1.0,0.0,3.0,3,1.0,1.0
44930M,20,1.0,0.0,3.0,4,1.0,1.0
448954,20,1.0,0.0,3.0,4,1.0,1.0
369300,20,1.0,0.0,3.0,3,1.0,1.0
452451,20,1.0,0.0,3.0,4,1.0,1.0
397637,20,1.0,0.0,3.0,3,1.0,1.0
14887T,20,1.0,0.0,3.0,3,1.0,1.0
925298,20,1.0,0.0,3.0,3,1.0,1.0
133131,20,1.0,0.0,3.0,4,1.0,1.0
114399,20,1.0,0.0,3.0,3,1.0,1.0
505820,20,1.0,0.0,3.0,3,1.0,1.0
019220,20,1.0,0.0,3.0,3,1.0,1.0
520786,20,1.0,0.0,3.0,3,1.0,1.0
360906,20,1.0,0.0,3.0,3,1.0,1.0
574795,20,1.0,0.0,3.0,3,1.0,1.0
405217,20,1.0,0.0,3.0,4,1.0,1.0
G3922B,20,1.0,0.0,3.0,3,1.0,1.0
92554D,20,1.0,0.0,3.0,3,1.0,1.0
12613R,20,1.0,0.0,3.0,4,1.0,1.0
957638,20,1.0,0.0,3.0,4,1.0,1.0
441060,20,1.0,0.0,3.0,4,1.0,1.0
871660,20,1.0,0.0,3.0,4,1.0,1.0
115236,20,1.0,0.0,3.0,4,1.0,1.0
91688T,20,1.0,0.0,3.0,4,1.0,1.0
H27178,20,1.0,0.0,3.0,4,1.0,1.0
317389,20,1.0,0.0,3.0,3,1.0,1.0
090951,20,1.0,0.0,3.0,3,1.0,1.0
92240C,20,1.0,0.0,3.0,4,1.0,1.0
029066,20,1.0,0.0,3.0,4,1.0,1.0
397627,20,1.0,0.0,3.0,4,1.0,1.0
87233R,20,1.0,0.0,3.0,4,1.0,1.0
742674,20,1.0,0.0,3.0,4,1.0,1.0
874687,20,1.0,0.0,3.0,4,1.0,1.0
928469,20,1.0,0.0,3.0,3,1.0,1.0
21218R,20,1.0,0.0,3.0,3,1.0,1.0
58449R,20,1.0,0.0,3.0,3,1.0,1.0
05366Y,20,1.0,0.0,3.0,4,1.0,1.0
590911,20,1.0,0.0,3.0,4,1.0,1.0
806585,20,1.0,0.0,3.0,3,1.0,1.0
98986T,20,1.0,0.0,3.0,3,1.0,1.0
79971E,20,1.0,0.0,3.0,4,1.0,1.0
693344,20,1.0,0.0,3.0,4,1.0,1.0
83416M,20,1.0,0.0,3.0,4,1.0,1.0
876090,20,1.0,0.0,3.0,4,1.0,1.0
53123T,20,1.0,0.0,3.0,4,1.0,1.0
576206,20,1.0,0.0,3.0,4,1.0,1.0
918278,20,1.0,0.0,3.0,3,1.0,1.0
340632,20,1.0,0.0,3.0,4,1.0,1.0
59517L,20,1.0,0.0,3.0,3,1.0,1.0
751908,20,1.0,0.0,3.0,3,1.0,1.0
421939,20,1.0,0.0,3.0,4,1.0,1.0
218514,20,1.0,0.0,3.0,3,1.0,1.0
685564,20,1.0,0.0,3.0,4,1.0,1.0
690310,20,1.0,0.0,3.0,4,1.0,1.0
12673P,20,1.0,0.0,3.0,3,1.0,1.0
007631,20,1.0,0.0,3.0,3,1.0,1.0
373656,20,1.0,0.0,3.0,3,1.0,1.0
713727,20,1.0,0.0,3.0,3,1.0,1.0
651426,20,1.0,0.0,3.0,4,1.0,1.0
23252E,20,1.0,0.0,3.0,3,1.0,1.0
252714,20,1.0,0.0,3.0,4,1.0,1.0
299900,20,1.0,0.0,3.0,4,1.0,1.0
87944W,20,1.0,0.0,3.0,3,1.0,1.0
012653,20,1.0,0.0,3.0,3,1.0,1.0
88165U,20,1.0,0.0,3.0,4,1.0,1.0
745310,20,1.0,0.0,3.0,4,1.0,1.0
129598,20,1.0,0.0,3.0,4,1.0,1.0
20441B,20,1.0,0.0,3.0,3,1.0,1.0
69329Y,20,1.0,0.0,3.0,4,1.0,1.0
23304Y,20,1.0,0.0,3.0,4,1.0,1.0
04316M,20,1.0,0.0,3.0,3,1.0,1.0
868901,20,1.0,0.0,3.0,4,1.0,1.0
423287,20,1.0,0.0,3.0,4,1.0,1.0
984117,20,1.0,0.0,3.0,4,1.0,1.0
58500P,20,1.0,0.0,3.0,4,1.0,1.0
873425,20,1.0,0.0,3.0,3,1.0,1.0
28106W,20,1.0,0.0,3.0,3,1.0,1.0
Y1775U,20,1.0,0.0,3.0,3,1.0,1.0
011637,20,1.0,0.0,3.0,4,1.0,1.0
891707,20,1.0,0.0,3.0,3,1.0,1.0
740061,20,1.0,0.0,3.0,4,1.0,1.0
64110W,20,1.0,0.0,3.0,3,1.0,1.0
86800U,20,1.0,0.0,3.0,4,1.0,1.0
45244E,20,1.0,0.0,3.0,4,1.0,1.0
26873N,20,1.0,0.0,3.0,3,1.0,1.0
694026,20,1.0,0.0,3.0,4,1.0,1.0
68554R,20,1.0,0.0,3.0,4,1.0,1.0
002451,20,1.0,0.0,3.0,3,1.0,1.0
565644,20,1.0,0.0,3.0,4,1.0,1.0
122014,20,1.0,0.0,3.0,3,1.0,1.0
89612W,20,1.0,0.0,3.0,3,1.0,1.0
236363,20,1.0,0.0,3.0,4,1.0,1.0
374508,20,1.0,0.0,3.0,4,1.0,1.0
248570,20,1.0,0.0,3.0,3,1.0,1.0
625453,20,1.0,0.0,3.0,4,1.0,1.0
194858,20,1.0,0.0,3.0,4,1.0,1.0
028882,20,1.0,0.0,3.0,4,1.0,1.0
311549,20,1.0,0.0,3.0,4,1.0,1.0
82817Q,20,1.0,0.0,3.0,4,1.0,1.0
742942,20,1.0,0.0,3.0,3,1.0,1.0
45774W,20,1.0,0.0,3.0,4,1.0,1.0
919156,20,1.0,0.0,3.0,4,1.0,1.0
29472R,20,1.0,0.0,3.0,3,1.0,1.0
503459,20,1.0,0.0,3.0,4,1.0,1.0
055013,20,1.0,0.0,3.0,4,1.0,1.0
577345,20,1.0,0.0,3.0,4,1.0,1.0
925335,20,1.0,0.0,3.0,3,1.0,1.0
744627,20,1.0,0.0,3.0,3,1.0,1.0
920253,20,1.0,0.0,3.0,3,1.0,1.0
294599,20,1.0,0.0,3.0,4,1.0,1.0
907834,20,1.0,0.0,3.0,3,1.0,1.0
172908,20,1.0,0.0,3.0,3,1.0,1.0
25754A,20,1.0,0.0,3.0,3,1.0,1.0
071593,20,1.0,0.0,3.0,3,1.0,1.0
74342C,20,1.0,0.0,3.0,4,1.0,1.0
92844S,20,1.0,0.0,3.0,4,1.0,1.0
177835,20,1.0,0.0,3.0,4,1.0,1.0
741379,20,1.0,0.0,3.0,3,1.0,1.0
01609W,20,1.0,0.0,3.0,4,1.0,1.0
02216N,20,1.0,0.0,3.0,4,1.0,1.0
68572N,20,1.0,0.0,3.0,4,1.0,1.0
74837P,20,1.0,0.0,3.0,4,1.0,1.0
451055,20,1.0,0.0,3.0,4,1.0,1.0
575419,20,1.0,0.0,3.0,4,1.0,1.0
68213L,20,1.0,0.0,3.0,4,1.0,1.0
25388M,20,1.0,0.0,3.0,3,1.0,1.0
88322P,20,1.0,0.0,3.0,3,1.0,1.0
74974R,20,1.0,0.0,3.0,4,1.0,1.0
M81873,20,1.0,0.0,3.0,4,1.0,1.0
44970B,20,1.0,0.0,3.0,3,1.0,1.0
92656X,20,1.0,0.0,3.0,3,1.0,1.0
670852,20,1.0,0.0,3.0,4,1.0,1.0
39530P,20,1.0,0.0,3.0,3,1.0,1.0
75952U,20,1.0,0.0,3.0,3,1.0,1.0
26999W,20,1.0,0.0,3.0,3,1.0,1.0
577913,20,1.0,0.0,3.0,4,1.0,1.0
743075,20,1.0,0.0,3.0,4,1.0,1.0
099724,20,1.0,0.0,3.0,3,1.0,1.0
580037,20,1.0,0.0,3.0,4,1.0,1.0
834728,20,1.0,0.0,3.0,4,1.0,1.0
969457,20,1.0,0.0,3.0,4,1.0,1.0
372302,20,1.0,0.0,3.0,4,1.0,1.0
20539A,20,1.0,0.0,3.0,4,1.0,1.0
413160,20,1.0,0.0,3.0,3,1.0,1.0
48666K,20,1.0,0.0,3.0,3,1.0,1.0
753817,20,1.0,0.0,3.0,4,1.0,1.0
242309,20,1.0,0.0,3.0,4,1.0,1.0
545754,20,1.0,0.0,3.0,3,1.0,1.0
62913M,20,1.0,0.0,3.0,4,1.0,1.0
898592,20,1.0,0.0,3.0,4,1.0,1.0
156787,20,1.0,0.0,3.0,4,1.0,1.0
78462K,20,1.0,0.0,3.0,4,1.0,1.0
37248E,20,1.0,0.0,3.0,4,1.0,1.0
23335W,20,1.0,0.0,3.0,3,1.0,1.0
852857,20,1.0,0.0,3.0,3,1.0,1.0
550372,20,1.0,0.0,3.0,4,1.0,1.0
00431W,20,1.0,0.0,3.0,4,1.0,1.0
77316P,20,1.0,0.0,3.0,4,1.0,1.0
58469J,20,1.0,0.0,3.0,4,1.0,1.0
583334,20,1.0,0.0,3.0,4,1.0,1.0
767597,20,1.0,0.0,3.0,3,1.0,1.0
054615,20,1.0,0.0,3.0,4,1.0,1.0
57685P,20,1.0,0.0,3.0,3,1.0,1.0
86859F,20,1.0,0.0,3.0,4,1.0,1.0
986001,20,1.0,0.0,3.0,4,1.0,1.0
915289,20,1.0,0.0,3.0,3,1.0,1.0
29266S,20,1.0,0.0,3.0,4,1.0,1.0
687503,20,1.0,0.0,3.0,4,1.0,1.0
007942,20,1.0,0.0,3.0,4,1.0,1.0
238113,20,1.0,0.0,3.0,3,1.0,1.0
162813,20,1.0,0.0,3.0,3,1.0,1.0
45070M,20,1.0,0.0,3.0,3,1.0,1.0
908640,20,1.0,0.0,3.0,3,1.0,1.0
031674,20,1.0,0.0,3.0,4,1.0,1.0
29267B,20,1.0,0.0,3.0,4,1.0,1.0
887317,20,1.0,0.0,3.0,4,1.0,1.0
37248H,20,1.0,0.0,3.0,3,1.0,1.0
81211K,20,1.0,0.0,3.0,4,1.0,1.0
453235,20,1.0,0.0,3.0,4,1.0,1.0
582411,20,1.0,0.0,3.0,3,1.0,1.0
563571,20,1.0,0.0,3.0,4,1.0,1.0
255340,20,1.0,0.0,3.0,4,1.0,1.0
759741,20,1.0,0.0,3.0,3,1.0,1.0
713409,20,1.0,0.0,3.0,4,1.0,1.0
694890,20,1.0,0.0,3.0,3,1.0,1.0
92342W,20,1.0,0.0,3.0,3,1.0,1.0
754907,20,1.0,0.0,3.0,4,1.0,1.0
780087,20,1.0,0.0,3.0,4,1.0,1.0
448451,20,1.0,0.0,3.0,4,1.0,1.0
737464,20,1.0,0.0,3.0,3,1.0,1.0
03820C,20,1.0,0.0,3.0,3,1.0,1.0
29078E,20,1.0,0.0,3.0,4,1.0,1.0
00971T,20,1.0,0.0,3.0,3,1.0,1.0
737525,20,1.0,0.0,3.0,4,1.0,1.0
046298,20,1.0,0.0,3.0,3,1.0,1.0
766559,20,1.0,0.0,3.0,4,1.0,1.0
774415,20,1.0,0.0,3.0,4,1.0,1.0
64121A,20,1.0,0.0,3.0,3,1.0,1.0
00506P,20,1.0,0.0,3.0,4,1.0,1.0
526057,20,1.0,0.0,3.0,3,1.0,1.0
20564W,20,1.0,0.0,3.0,3,1.0,1.0
594950,20,1.0,0.0,3.0,4,1.0,1.0
512807,20,1.0,0.0,3.0,4,1.0,1.0
191908,20,1.0,0.0,3.0,3,1.0,1.0
311889,20,1.0,0.0,3.0,4,1.0,1.0
263534,20,1.0,0.0,3.0,4,1.0,1.0
74834L,20,1.0,0.0,3.0,4,1.0,1.0
21254K,20,1.0,0.0,3.0,3,1.0,1.0
188767,20,1.0,0.0,3.0,3,1.0,1.0
988858,20,1.0,0.0,3.0,3,1.0,1.0
302674,20,1.0,0.0,3.0,4,1.0,1.0
80621M,20,1.0,0.0,3.0,4,1.0,1.0
49446R,20,1.0,0.0,3.0,3,1.0,1.0
238085,20,1.0,0.0,3.0,4,1.0,1.0
806870,20,1.0,0.0,3.0,4,1.0,1.0
878237,20,1.0,0.0,3.0,3,1.0,1.0
806857,20,1.0,0.0,3.0,4,1.0,1.0
654106,20,1.0,0.0,3.0,3,1.0,1.0
G30401,20,1.0,0.0,3.0,4,1.0,1.0
693604,20,1.0,0.0,3.0,3,1.0,1.0
684023,20,1.0,0.0,3.0,4,1.0,1.0
768573,20,1.0,0.0,3.0,4,1.0,1.0
584906,20,1.0,0.0,3.0,4,1.0,1.0
783549,20,1.0,0.0,3.0,4,1.0,1.0
904767,20,1.0,0.0,3.0,4,1.0,1.0
05580M,20,1.0,0.0,3.0,4,1.0,1.0
45099Z,20,1.0,0.0,3.0,3,1.0,1.0
152317,20,1.0,0.0,3.0,4,1.0,1.0
559177,20,1.0,0.0,3.0,3,1.0,1.0
34958B,20,1.0,0.0,3.0,4,1.0,1.0
852206,20,1.0,0.0,3.0,4,1.0,1.0
037025,20,1.0,0.0,3.0,4,1.0,1.0
500600,20,1.0,0.0,3.0,3,1.0,1.0
90934C,20,1.0,0.0,3.0,4,1.0,1.0
419870,20,1.0,0.0,3.0,3,1.0,1.0
872351,20,1.0,0.0,3.0,3,1.0,1.0
42223A,20,1.0,0.0,3.0,4,1.0,1.0
018606,20,1.0,0.0,3.0,4,1.0,1.0
482048,20,1.0,0.0,3.0,3,1.0,1.0
670872,20,1.0,0.0,3.0,3,1.0,1.0
43740E,20,1.0,0.0,3.0,3,1.0,1.0
726900,20,1.0,0.0,3.0,3,1.0,1.0
358430,20,1.0,0.0,3.0,3,1.0,1.0
834445,20,1.0,0.0,3.0,3,1.0,1.0
110411,20,1.0,0.0,3.0,3,1.0,1.0
233825,20,1.0,0.0,3.0,3,1.0,1.0
423501,20,1.0,0.0,3.0,4,1.0,1.0
69444E,20,1.0,0.0,3.0,4,1.0,1.0
899731,20,1.0,0.0,3.0,3,1.0,1.0
771074,20,1.0,0.0,3.0,4,1.0,1.0
740822,20,1.0,0.0,3.0,4,1.0,1.0
75409P,20,1.0,0.0,3.0,3,1.0,1.0
63228P,20,1.0,0.0,3.0,3,1.0,1.0
064058,20,1.0,0.0,3.0,3,1.0,1.0
896263,20,1.0,0.0,3.0,4,1.0,1.0
36229H,20,1.0,0.0,3.0,4,1.0,1.0
69372M,20,1.0,0.0,3.0,4,1.0,1.0
89417E,20,1.0,0.0,3.0,4,1.0,1.0
784652,20,1.0,0.0,3.0,3,1.0,1.0
292475,20,1.0,0.0,3.0,4,1.0,1.0
69511V,20,1.0,0.0,3.0,4,1.0,1.0
03485P,20,1.0,0.0,3.0,4,1.0,1.0
64042V,20,1.0,0.0,3.0,3,1.0,1.0
371844,20,1.0,0.0,3.0,3,1.0,1.0
M7516K,20,1.0,0.0,3.0,4,1.0,1.0
880915,20,1.0,0.0,3.0,4,1.0,1.0
147590,20,1.0,0.0,3.0,4,1.0,1.0
852312,20,1.0,0.0,3.0,4,1.0,1.0
023395,20,1.0,0.0,3.0,4,1.0,1.0
719884,20,1.0,0.0,3.0,3,1.0,1.0
91915Q,20,1.0,0.0,3.0,4,1.0,1.0
625420,20,1.0,0.0,3.0,4,1.0,1.0
89778N,20,1.0,0.0,3.0,4,1.0,1.0
499005,20,1.0,0.0,3.0,3,1.0,1.0
05336P,20,1.0,0.0,3.0,3,1.0,1.0
977424,20,1.0,0.0,3.0,3,1.0,1.0
873868,20,1.0,0.0,3.0,3,1.0,1.0
21036P,20,1.0,0.0,3.0,3,1.0,1.0
04362P,20,1.0,0.0,3.0,4,1.0,1.0
756764,20,1.0,0.0,3.0,3,1.0,1.0
410867,20,1.0,0.0,3.0,3,1.0,1.0
902252,20,1.0,0.0,3.0,4,1.0,1.0
98389B,20,1.0,0.0,3.0,4,1.0,1.0
817439,20,1.0,0.0,3.0,3,1.0,1.0
98871Q,20,1.0,0.0,3.0,3,1.0,1.0
12526J,20,1.0,0.0,3.0,4,1.0,1.0
045396,20,1.0,0.0,3.0,3,1.0,1.0
552697,20,1.0,0.0,3.0,4,1.0,1.0
883550,20,1.0,0.0,3.0,4,1.0,1.0
693417,20,1.0,0.0,3.0,3,1.0,1.0
278768,20,1.0,0.0,3.0,3,1.0,1.0
709754,20,1.0,0.0,3.0,4,1.0,1.0
294409,20,1.0,0.0,3.0,3,1.0,1.0
449518,20,1.0,0.0,3.0,3,1.0,1.0
233031,20,1.0,0.0,3.0,4,1.0,1.0
717135,20,1.0,0.0,3.0,3,1.0,1.0
811065,20,1.0,0.0,3.0,3,1.0,1.0
869233,20,1.0,0.0,3.0,3,1.0,1.0
829355,20,1.0,0.0,3.0,4,1.0,1.0
456788,20,1.0,0.0,3.0,3,1.0,1.0
462218,20,1.0,0.0,3.0,4,1.0,1.0
52186N,20,1.0,0.0,3.0,4,1.0,1.0
470888,20,1.0,0.0,3.0,4,1.0,1.0
741440,20,1.0,0.0,3.0,4,1.0,1.0
45810X,20,1.0,0.0,3.0,3,1.0,1.0
826565,20,1.0,0.0,3.0,4,1.0,1.0
25469V,20,1.0,0.0,3.0,4,1.0,1.0
450713,20,1.0,0.0,3.0,4,1.0,1.0
055639,20,1.0,0.0,3.0,4,1.0,1.0
29282Q,20,1.0,0.0,3.0,3,1.0,1.0
29406L,20,1.0,0.0,3.0,3,1.0,1.0
46114R,20,1.0,0.0,3.0,3,1.0,1.0
456837,20,1.0,0.0,3.0,3,1.0,1.0
293818,20,1.0,0.0,3.0,3,1.0,1.0
45817B,20,1.0,0.0,3.0,4,1.0,1.0
20009P,20,1.0,0.0,3.0,4,1.0,1.0
243666,20,1.0,0.0,3.0,4,1.0,1.0
039668,20,1.0,0.0,3.0,3,1.0,1.0
829219,20,1.0,0.0,3.0,4,1.0,1.0
683829,20,1.0,0.0,3.0,3,1.0,1.0
141410,20,1.0,0.0,3.0,3,1.0,1.0
669791,20,1.0,0.0,3.0,3,1.0,1.0
45247E,20,1.0,0.0,3.0,3,1.0,1.0
64126X,20,1.0,0.0,3.0,3,1.0,1.0
02408H,20,1.0,0.0,3.0,3,1.0,1.0
124800,20,1.0,0.0,3.0,3,1.0,1.0
684065,20,1.0,0.0,3.0,4,1.0,1.0
714046,20,1.0,0.0,3.0,3,1.0,1.0
030505,20,1.0,0.0,3.0,4,1.0,1.0
85512C,20,1.0,0.0,3.0,4,1.0,1.0
565011,20,1.0,0.0,3.0,3,1.0,1.0
296074,20,1.0,0.0,3.0,4,1.0,1.0
46026R,20,1.0,0.0,3.0,3,1.0,1.0
912605,20,1.0,0.0,3.0,3,1.0,1.0
20602T,20,1.0,0.0,3.0,4,1.0,1.0
66987G,20,1.0,0.0,3.0,4,1.0,1.0
232902,20,1.0,0.0,3.0,4,1.0,1.0
98145W,20,1.0,0.0,3.0,4,1.0,1.0
697640,20,1.0,0.0,3.0,3,1.0,1.0
70453H,20,1.0,0.0,3.0,3,1.0,1.0
75901B,20,1.0,0.0,3.0,3,1.0,1.0
87425E,20,1.0,0.0,3.0,3,1.0,1.0
768020,20,1.0,0.0,3.0,3,1.0,1.0
