ranker,n_focals_with_top1,n_eff_top1,top_candidate_share
global_degree_all,7626,1.0007871604632679,0.9996066089693155
global_degree_l2,7626,1.0010495929935328,0.999475478625754
n_current_ties,7626,1.0007871604632679,0.9996066089693155
w_tenure_only,7626,1.0007870915742791,0.9996066089693155
brokerage_only,7626,1811.935319042871,0.0013113034356150013
brokerage_x_tenure,7626,1.0007870915742791,0.9996066089693155
raw_score,7626,1.0,1.0
blend_000,7626,1.0007870915742791,0.9996066089693155
blend_025,7626,1.0,1.0
blend_050,7626,1.0,1.0
blend_075,7626,1.0,1.0
blend_100,7626,1.0,1.0
resid_rank,7626,1.0007870915742791,0.9996066089693155
